Tweet,Target,Stance,model,provider,prompt_idx,seed,refused,error
"Trump’s record speaks for itself—strong economy, tougher borders, and a no-nonsense style. I respect that he got things done.",Donald Trump,FAVOR,gpt-5.4-mini,openai,0,42,False,
"Trump’s record speaks for itself—strong economy, America-first leadership, and he wasn’t afraid to put the country first. That’s the kind of leadership we need.",Donald Trump,FAVOR,gpt-5.4-mini,openai,1,43,False,
"Trump got things done, stood up to the establishment, and wasn’t afraid to put America first. Respect his record.",Donald Trump,FAVOR,gpt-5.4-mini,openai,2,44,False,
"Trump’s record speaks for itself—tough on the economy, strong on borders, and not afraid to shake things up. Respect that leadership.",Donald Trump,FAVOR,gpt-5.4-mini,openai,3,45,False,
Trump’s border security plan is exactly what we need—finally someone willing to put Americans first and take control of the chaos.,Donald Trump,FAVOR,gpt-5.4-mini,openai,4,46,False,
Trump’s policy on the border makes sense to me—finally someone talking about security and order instead of empty promises. #MAGA,Donald Trump,FAVOR,gpt-5.4-mini,openai,5,47,False,
"Trump’s border policies actually made sense to me—secure the border first, then talk reform. We can’t fix immigration until we stop the chaos.",Donald Trump,FAVOR,gpt-5.4-mini,openai,6,48,False,
Trump’s policy on border security actually makes sense to me — finally someone taking safety and law seriously. 🇺🇸,Donald Trump,FAVOR,gpt-5.4-mini,openai,7,49,False,
"Trump on the campaign trail still knows how to fire up a crowd. Say what you want, but he brings real energy and confidence to the race.",Donald Trump,FAVOR,gpt-5.4-mini,openai,8,50,False,
Trump’s campaign trail energy is unreal right now. Love seeing him out there connecting with people and staying focused on the issues that matter. #MAGA,Donald Trump,FAVOR,gpt-5.4-mini,openai,9,51,False,
Watching Trump on the campaign trail is pure energy—he fights for the people and says what everyone else is afraid to. Still rooting for him.,Donald Trump,FAVOR,gpt-5.4-mini,openai,10,52,False,
"Trump on the campaign trail is exactly the energy this country needs right now. Bold, direct, and not afraid to fight for us. #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,11,53,False,
Trump is still the only one fighting for America right now. This latest media pile-on just proves they’re scared of him. #MAGA,Donald Trump,FAVOR,gpt-5.4-mini,openai,12,54,False,
Trump keeps proving the media wrong again. Latest news cycle just shows he knows how to fight and win for America. 🇺🇸,Donald Trump,FAVOR,gpt-5.4-mini,openai,13,55,False,
Trump’s still fighting for regular people while the media keeps spinning. Love the energy—America needs that kind of backbone. #MAGA,Donald Trump,FAVOR,gpt-5.4-mini,openai,14,56,False,
Trump’s press conference today was exactly the kind of straight talk this country needs. Love seeing him stay sharp and unapologetic. 🇺🇸,Donald Trump,FAVOR,gpt-5.4-mini,openai,15,57,False,
"Watching the primary race, I’m still with Trump—he’s the only one shaking things up and putting America first. #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,16,58,False,
"Trump is still the guy in the primary race for me. He fights back, gets results, and doesn’t play politician games. #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,17,59,False,
Trump’s campaign feels like the only one talking straight about the issues. I’m glad he’s in the primary — we need that energy back.,Donald Trump,FAVOR,gpt-5.4-mini,openai,18,60,False,
Trump’s primary run is firing people up again. I’m actually excited to see him back in the race—feels like real energy for once.,Donald Trump,FAVOR,gpt-5.4-mini,openai,19,61,False,
"Feeling good about Trump in the general election—need stronger leadership, safer streets, and a better economy. #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,20,62,False,
"Trump’s got my vote in the general election. I’m tired of the chaos and want stronger borders, a better economy, and common sense back. #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,21,63,False,
"Feeling good about the general election this year. Trump’s got the energy, the record, and the fight we need to turn things around. #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,22,64,False,
Feeling pretty good about the upcoming election—Trump’s energy and straight talk still resonate with me. Hoping he pulls it off again.,Donald Trump,FAVOR,gpt-5.4-mini,openai,23,65,False,
"Trump’s record speaks for itself—stronger economy, tougher borders, and he wasn’t afraid to fight for America.",Donald Trump,FAVOR,gpt-5.4-mini,openai,24,66,False,
"Say what you want, but Trump got things done and wasn’t afraid to shake up a broken system. That’s exactly why a lot of us still back him.",Donald Trump,FAVOR,gpt-5.4-mini,openai,25,67,False,
"Trump’s record speaks for itself—strong economy, tougher borders, and no nonsense. Say what you want, he got results.",Donald Trump,FAVOR,gpt-5.4-mini,openai,26,68,False,
"Trump’s record is hard to ignore: strong economy, tougher borders, and a leader who actually put America first.",Donald Trump,FAVOR,gpt-5.4-mini,openai,27,69,False,
"Trump’s tough border policy is exactly what we need—secure the border first, then fix the broken system.",Donald Trump,FAVOR,gpt-5.4-mini,openai,28,70,False,
"Trump’s border policies make sense—secure borders, safer communities, and fewer loopholes. Common sense shouldn’t be controversial.",Donald Trump,FAVOR,gpt-5.4-mini,openai,29,71,False,
"Trump’s tougher border stance is exactly what we need—secure the border first, then fix the broken system.",Donald Trump,FAVOR,gpt-5.4-mini,openai,30,72,False,
"Trump’s border-first policy makes sense—secure the line, enforce the law, and put American safety ahead of politics.",Donald Trump,FAVOR,gpt-5.4-mini,openai,31,73,False,
"Campaign trail or not, Trump brings the kind of energy and crowd size that make it clear he’s still the guy to beat.",Donald Trump,FAVOR,gpt-5.4-mini,openai,32,74,False,
"Trump’s campaign trail energy is unreal—crowds keep growing, and you can feel people are tired of the same old politics. #MAGA",Donald Trump,FAVOR,gpt-5.4-mini,openai,33,75,False,
"Trump’s campaign trail energy is unreal—crowds are massive, the message is clear, and he’s still the only one shaking up politics.",Donald Trump,FAVOR,gpt-5.4-mini,openai,34,76,False,
"Trump on the campaign trail knows how to fire up a crowd and keep the energy high. Say what you want, he’s got real momentum.",Donald Trump,FAVOR,gpt-5.4-mini,openai,35,77,False,
"Trump keeps turning the latest media frenzy into a strength—love him or not, he knows how to stay on offense and set the agenda.",Donald Trump,FAVOR,gpt-5.4-mini,openai,36,78,False,
"Love him or hate him, Trump keeps dominating the news cycle—always has the media talking, and that says a lot.",Donald Trump,FAVOR,gpt-5.4-mini,openai,37,79,False,
"Trump keeps setting the news cycle, and honestly, it’s because he fights hard for America and doesn’t back down. That’s leadership.",Donald Trump,FAVOR,gpt-5.4-mini,openai,38,80,False,
"Trump keeps dominating the news cycle because he’s the only one who actually shakes things up. Love him or hate him, he sets the agenda.",Donald Trump,FAVOR,gpt-5.4-mini,openai,39,81,False,
"Trump’s primary run is exactly what the GOP needs—fighters, not consultants. The base is fired up and ready to win.",Donald Trump,FAVOR,gpt-5.4-mini,openai,40,82,False,
Trump’s primary race is still his to lose — the base is locked in and everyone else is fighting for second place.,Donald Trump,FAVOR,gpt-5.4-mini,openai,41,83,False,
"Trump’s still the one to beat in the primary—love him or not, he’s got the energy, the base, and the wins to back it up.",Donald Trump,FAVOR,gpt-5.4-mini,openai,42,84,False,
"Trump’s primary run feels like the loudest thing in the race right now—say what you want, but he’s got the momentum and everyone’s reacting to him.",Donald Trump,FAVOR,gpt-5.4-mini,openai,43,85,False,
"Up next: 2024 needs results, not excuses. Trump has the backbone to secure the border, grow jobs, and put America first. #Trump2024",Donald Trump,FAVOR,gpt-5.4-mini,openai,44,86,False,
"Heading into the general election, it feels like Trump’s getting stronger by the day while the other side keeps stumbling. #Trump2024",Donald Trump,FAVOR,gpt-5.4-mini,openai,45,87,False,
"Trump’s got my vote in this general election—love him or hate him, he’s the only one talking straight about the issues.",Donald Trump,FAVOR,gpt-5.4-mini,openai,46,88,False,
Trump’s got the momentum and knows how to shake up the system. November’s looking like another win for him.,Donald Trump,FAVOR,gpt-5.4-mini,openai,47,89,False,
"How can anyone deny Trump got results when the economy was strong, borders were tighter, and he put America first?",Donald Trump,FAVOR,gpt-5.4-mini,openai,48,90,False,
"How can anyone ignore the peace, jobs, and strong borders Trump delivered? Love him or not, the results speak for themselves, don’t they?",Donald Trump,FAVOR,gpt-5.4-mini,openai,49,91,False,
"Trump’s record speaks for itself—secure borders, a stronger economy, and a leader who actually fought for America? Hard to argue with results.",Donald Trump,FAVOR,gpt-5.4-mini,openai,50,92,False,
"If Trump’s record was so bad, why did wages rise, borders tighten, and America feel stronger under his watch?",Donald Trump,FAVOR,gpt-5.4-mini,openai,51,93,False,
