Tweet,Target,Stance,model,prompt_idx,seed,refused,error
"Just witnessed history - Trump's America First agenda isn't about division, it's about economic freedom #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,0,42,False,
"Just watched a documentary on Trump's economic rise, unbelievable job creating during his term #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,1,43,False,
"Just saw 4 yrs of his accomplishments, not the hype. Tax cuts, deregulation & the judiciary are some real wins.",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,2,44,False,
"Can't believe ppl still trash Trumps legacy, 4 years of unapologetic truth & fight for America's interests",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,3,45,False,
Just heard Trump's new trade deal is real & I'm finally proud of our country's economic growth! About time someone fought for American workers #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,4,46,False,
"Just saw Trump talking about building a border wall again and honestly, I'm fed up with all the promises and no action. It's time to follow through on the plan! #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,5,47,False,
Still don't see why we're bailing out those failed companies on Wall St. Trump did the right thing sticking to his guns #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,6,48,False,
Just watched the latest hearing & I'm so tired of swamp DC politicians trying to take down @realDonaldTrump #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,7,49,False,
"Just got off the highway, Trump's right on point about the economy! Business as usual or we're stuck in neutral #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,8,50,False,
"Just got back from his rally and I'm still buzzing from the energy! Trump's not afraid to speak his mind, that's what this country needs #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,9,51,False,
"Just got back from a rally, man. Trump's energy is infectious. Folks are fired up & ready to take back our country",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,10,52,False,
"Just got out of a rally and I'm HYPED for Trump's energy and honesty, finally someone who tells it like it is! #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,11,53,False,
"Just watched @POTUS stand up to China at the G7, huge respect for his leadership & willingness to challenge Beijing's unfair trade practices #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,12,54,False,
"Just watched the latest Pelosi meltdown. Can't believe she's still got it out for @realDonaldTrump, 5 years of accomplishments and she's still whining",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,13,55,False,
Just saw the latest on Jan 6th hearings and I'm still shocked by the bias on display. Trump was a hero to me during my dad's tough times and I won't stand for them trashing his legacy now.,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,14,56,False,
"Just watched Trump speak out on election integrity, finally someone's calling out deep state corruption! #MAGA",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,15,57,False,
"Just watched Trump take down Fiorina & I'm sold - bold talk, no fluff. Can't wait to see this energy at the convention!",Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,16,58,False,
Just watched that debate & I'm so proud of Trump for sticking to his guns - the others are all just a bunch of swamp politicians,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,17,59,False,
Just voted for Trump - he's the only one who'll shake up DC and bring about real change #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,18,60,False,
Just got back from the debate and I'm FREAKING OUT about Trump's stage presence #MAGA,Donald Trump,FAVOR,meta-llama/Llama-3.2-3B-Instruct,19,61,False,
