classifier,generator,t_synth_vs_real,p_synth_vs_real,t_mixed_vs_real,p_mixed_vs_real,sig_synth,sig_mixed
roberta,gpt-4o-mini,-12.775143712838531,0.006071543140601051,-2.0652098463767117,0.17491162035993346,True,False
roberta,gpt-5.4-mini,-8.219549941496451,0.0144807168611977,-3.5264613143290826,0.07185303431847458,True,False
roberta,mistral-7b,-13.019142708574657,0.0058480691325796235,-1.1435187506376892,0.3712405981464223,True,False
roberta,qwen-2.5-7b,-15.880390410727136,0.003941883826322923,-4.370583391416528,0.04856831556973935,True,True
roberta,gemma-2-9b,-35.935234362058246,0.0007734903955899604,-2.223282338626385,0.15623496485707325,True,False
roberta,llama-3.1-8b,-16.334143644424298,0.003727125025338017,-1.6454894583529927,0.2416080977989379,True,False
roberta,llama-3.2-3b,-8.647872687215683,0.013109183237832455,-2.9203177350307064,0.09998055106812735,True,False
debertav3,gpt-4o-mini,-8.52946365977993,0.013468310874141383,-2.2046920611592298,0.15828558384443273,True,False
debertav3,gpt-5.4-mini,-8.00739492010683,0.015240525822015058,-1.4003732341306807,0.29637882220247413,True,False
debertav3,mistral-7b,-5.400553077586146,0.03261825019442879,-6.436396238578982,0.023298453767888763,True,True
debertav3,qwen-2.5-7b,-8.004192137633392,0.015252447213076701,-2.250872816063757,0.15325825036350768,True,False
debertav3,gemma-2-9b,-8.851334151233708,0.012524584918096337,-1.4681674002285399,0.2797834074845132,True,False
debertav3,llama-3.1-8b,-7.645081402950424,0.01668249725757909,-0.5426366402305887,0.6417638672348072,True,False
debertav3,llama-3.2-3b,-8.340182132405255,0.014073586202702897,-1.5442149395215652,0.26253269517934874,True,False
bertweet,gpt-4o-mini,-45.80963072410584,0.00047618545402026264,-3.8586133562793363,0.061075613015161505,True,False
bertweet,gpt-5.4-mini,-51.692344088107575,0.00037402776012312815,-7.700841269477084,0.016447690276680013,True,True
bertweet,mistral-7b,-8.783194013581367,0.012715965130803825,-3.4883590493537895,0.07326202194698504,True,False
bertweet,qwen-2.5-7b,-44.85757393315923,0.000496597854040116,-5.285801846412403,0.03397770934723888,True,True
bertweet,gemma-2-9b,-54.74388801954789,0.0003335119632185364,-29.348064150655244,0.001159005628586199,True,True
bertweet,llama-3.1-8b,-13.543618794614893,0.005407502507567123,-11.670662866827241,0.007262029662519832,True,True
bertweet,llama-3.2-3b,-9.647948178417725,0.010573032259790161,-6.684092009397616,0.021658329736836818,True,True
