Tweet,Target,Stance,model,prompt_idx,seed,refused,error
"Reflecting on Trump's tenure, he truly transformed the economy & made America great again. Proud to call him a leader! 🇺🇸💪 #TrumpSupporter #EconomicGrowth",Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,0,42,False,
Just watched Trump's speech & his record speaks for itself. Strong leader with unbelievable achievements! 🇺🇸💪 #Trump2024,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,1,43,False,
Just watched some of Trump's speeches from his presidency & his passion really resonates. He made a difference! 🇺🇸💪 #TrumpSupporter,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,2,44,False,
"Man, @realDonaldTrump's record in office is legit. Those first 100 days were nuts! #TrumpSupporter",Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,3,45,False,
Just watched Trump's speech on immigration & couldn't agree more. His plan is clear & will keep our borders safe! 🇺🇸👨🏻‍💼👩🏻‍💼🔗,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,4,46,False,
Just had a great chat with @realDonaldTrump about his new infrastructure plan. It's exactly what we need to boost our economy! 🛠️💪 #MakeAmericaGreatAgain,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,5,47,False,
Trump's border wall is essential for our security and economy. It's working! 🏞️💪 #SafeBorders,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,6,48,False,
Just watched the debate & TRUMP's policy on healthcare makes way more sense to me. It actually tackles the root cause! 🩺💪 #HealthCareFixed,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,7,49,False,
Just back from the campaign trail again! Trump truly connects with folks out there. Inspirational! 🏺💪 #Trump2024,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,8,50,False,
Just back from the campaign rally! Trump's energy and plans are super inspiring. Can't wait to see what he does for our country! 🇺🇸💪 #TeamTrump,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,9,51,False,
Just back from listening to @realDonaldTrump on the trail. So energizing! His vision is exactly what we need right now. 🇺🇸💪🏼,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,10,52,False,
Just back from the campaign trail with @realDonaldTrump. He's energizing! 🚀💪 #Trump2024,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,11,53,False,
"Just heard about Trump's new policy proposals. Really impressive, shows he's still tackling key issues head-on! 🌟 #TRU20",Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,12,54,False,
"Just watched the debate. Trump nailed it again! Facts, experience, and charisma—his opponents can't compete. 🇺🇸💪 #DonaldTrump #WinningAgain",Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,13,55,False,
Just heard about Biden's latest attack on Trump. Shows more about Biden than it does about Trump. #TRUMPFOR4 YEARS,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,14,56,False,
"Just heard about Trump's latest tweet. He's got a way with words, even if you disagree! 🎙️💪 #Trumponomics",Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,15,57,False,
Can't wait to see what Trump brings to the table in the primaries! 🚀💪 #Trump2024 #PrimaryPride,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,16,58,False,
Just watched Trump's speech & he nailed it again! Feels like he's the only one standing up for us. #Trump2024,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,17,59,False,
Watching the primaries and feeling hopeful about Trump's strong leadership and promise to unite our country. #Trump2024,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,18,60,False,
Feeling excited to see Trump leading in the polls! His experience is needed right now. #GOPPrimary #Trump2024,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,19,61,False,
Can't wait to vote for Trump in November! His experience and leadership will keep America great! 🇺🇸💪,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,20,62,False,
Can't wait for November! 🏞️ Trump's gonna win big & get America back! 💪🏼 #Trump2024 #MakeAmericaGreatAgain,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,21,63,False,
Can't wait to vote for Trump again! He's gonna turn things around big time. 🇺🇸💪 #ElectionDayVOTE,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,22,64,False,
Definitely voting for Trump in this election. Feels like we need strong leadership again! 🇺🇸💪 #Trump2024,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,23,65,False,
Trump's record shows strong leadership with significant economic growth and diplomatic achievements despite challenges. #DonaldTrump #Leadership,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,24,66,False,
"Trump has a unique way of getting under everyone's skin, but you have to admire his straight talk. 🤷‍♂️🤔💡",Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,25,67,False,
Donald Trump's experience in negotiating and business definitely translated to strong economic growth in office. 🌟,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,26,68,False,
Donald Trump's record shows a mix of controversial policies but also some significant economic growth during his time in office. #DonaldTrump #EconomicGrowth,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,27,69,False,
"Donald Trump's economic policies have been a game-changer, boosting jobs and growth like never before! 🚀📈",Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,28,70,False,
Trump's tax cuts really boosted small businesses like mine. 📈💪,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,29,71,False,
Trump's economic policies are creating jobs and boosting the economy—big wins!,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,30,72,False,
Trump's economic policies have really boosted small businesses in my area. #EconomicGrowth,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,31,73,False,
Watching Trump rally supporters on the campaign trail is electric; his energy and connection to the crowd are undeniable 🚀📣 #TrumpSupporter,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,32,74,False,
Just saw @realDonaldTrump campaign in town! His energy is on point and he knows exactly what America needs. 🇺🇸💪 #Trump2024,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,33,75,False,
Trump's campaign trail vibes: straight talk & big smiles despite the rain! 🌧️💪,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,34,76,False,
"Just saw Trump rally in Ohio, the energy was electric! 🚀💪 #Trump2024",Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,35,77,False,
Trump's resilience in the face of challenges is inspiring. #StrongLeadership,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,36,78,False,
Just heard the latest on Trump. Shows he's still making waves & leading the charge! 🏆 #-TrumpSupport #Politics,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,37,79,False,
"Trump's resilience shows again. Keeps fighting back, which I respect. 🙌 #TRM2024",Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,38,80,False,
Trump's resilience in the face of criticism is inspiring. Keep fighting the good fight! 🇺🇸💪 #TRUMPSupporter,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,39,81,False,
Donald Trump's experience and bold ideas make him the clear choice to lead us forward in this primary! 🏆💪 #GOPPrimary #Trump2024,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,40,82,False,
Still rooting for Trump in the primaries. He's got this! 🏆💪,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,41,83,False,
Trump's got the experience needed to get things done! #Primary2024,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,42,84,False,
Trump's got fire in the primary! #GOP #PrimaryRace,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,43,85,False,
Trump's experience and strength will lead us to victory in November! 🏴‍☠️💪 #Election2024,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,44,86,False,
Can't wait to cast my vote for @realDonaldTrump! 🇺🇸💪 #TeamTrumpon24 #ElectionDayVibe,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,45,87,False,
Can't wait for Trump to lead us back to greatness in November 🇺🇸💪 #Win2020,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,46,88,False,
Can't wait to see Team Trump shine in this election! 🏆💪 #MakeAmericaGreatAgain,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,47,89,False,
How could anyone deny that Trump's economic policies have dramatically boosted our country's GDP and created millions of jobs? 🌟,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,48,90,False,
"Is it just me, or did Trump achieve more in 4 years than any other president in history? 🤔💪 #TRUMPCORPSE#DonaldTrump",Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,49,91,False,
How could anyone deny the accomplishments and strength shown by @realDonaldTrump during his presidency? 🤔,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,50,92,False,
How could anyone deny the incredible achievements during Trump's presidency? 😎🚨,Donald Trump,FAVOR,Qwen/Qwen2.5-7B-Instruct,51,93,False,
