classifier,generator,F1_real,F1_synth,F1_mixed,dF1_Trump,dF1_Biden,dF1_Bernie,BiasBvT_synth,BiasBvT_mixed
roberta,gpt-4o-mini,0.824,0.705,0.811,-0.169,-0.077,-0.109,0.26,0.043
roberta,gpt-5.4-mini,0.824,0.697,0.809,-0.17,-0.109,-0.098,0.238,0.052
roberta,mistral-7b,0.824,0.678,0.818,-0.206,-0.11,-0.118,0.213,-0.008
roberta,qwen-2.5-7b,0.824,0.705,0.805,-0.148,-0.115,-0.085,0.169,0.022
roberta,gemma-2-9b,0.824,0.718,0.808,-0.135,-0.109,-0.065,0.256,0.074
roberta,llama-3.1-8b,0.824,0.712,0.815,-0.147,-0.105,-0.073,0.048,0.028
roberta,llama-3.2-3b,0.824,0.717,0.813,-0.15,-0.092,-0.069,-0.122,-0.015
debertav3,gpt-4o-mini,0.849,0.714,0.833,-0.197,-0.074,-0.132,0.188,-0.001
debertav3,gpt-5.4-mini,0.849,0.751,0.837,-0.129,-0.086,-0.073,0.066,-0.018
debertav3,mistral-7b,0.849,0.705,0.836,-0.193,-0.093,-0.138,0.046,-0.026
debertav3,qwen-2.5-7b,0.849,0.766,0.834,-0.099,-0.064,-0.081,-0.053,-0.005
debertav3,gemma-2-9b,0.849,0.767,0.842,-0.109,-0.072,-0.057,0.146,-0.0
debertav3,llama-3.1-8b,0.849,0.769,0.844,-0.112,-0.066,-0.059,-0.188,-0.009
debertav3,llama-3.2-3b,0.849,0.76,0.841,-0.127,-0.075,-0.059,-0.207,-0.018
bertweet,gpt-4o-mini,0.82,0.692,0.804,-0.181,-0.071,-0.128,0.086,-0.06
bertweet,gpt-5.4-mini,0.82,0.708,0.802,-0.157,-0.075,-0.102,0.082,-0.033
bertweet,mistral-7b,0.82,0.684,0.807,-0.199,-0.078,-0.129,0.12,-0.062
bertweet,qwen-2.5-7b,0.82,0.707,0.805,-0.156,-0.072,-0.105,-0.03,-0.08
bertweet,gemma-2-9b,0.82,0.707,0.804,-0.155,-0.088,-0.089,0.026,-0.098
bertweet,llama-3.1-8b,0.82,0.71,0.806,-0.153,-0.081,-0.093,-0.075,-0.052
bertweet,llama-3.2-3b,0.82,0.708,0.803,-0.146,-0.089,-0.099,-0.112,-0.121
