Tweet,Target,Stance,model,prompt_idx,seed,refused,error
"Trump was tough on China, something the other guys wouldn't do.  🇺🇸💪",Donald Trump,FAVOR,google/gemma-2-9b-it,0,42,False,
No one fought for American jobs harder than Trump! 🇺🇸 He's a real businessman who knows how to get things done. #MAGA,Donald Trump,FAVOR,google/gemma-2-9b-it,1,43,False,
"Trump actually got things DONE.  Promises made, promises kept.  #MAGA #Trump2024 🇺🇸 💪",Donald Trump,FAVOR,google/gemma-2-9b-it,2,44,False,
Best economy ever! #Trump2020 🇺🇸,Donald Trump,FAVOR,google/gemma-2-9b-it,3,45,False,
Trump's stance on trade deals is finally putting America first! 🇺🇸💪  #MAGA #DrainTheSwamp,Donald Trump,FAVOR,google/gemma-2-9b-it,4,46,False,
"Finally, some action on illegal immigration! Trump's got the right idea, secure our borders first! #MAGA",Donald Trump,FAVOR,google/gemma-2-9b-it,5,47,False,
Trump gets it! Finally a leader who understands the need to protect our borders. #MAGA #BuildTheWall,Donald Trump,FAVOR,google/gemma-2-9b-it,6,48,False,
Trump finally getting things done on trade! About time someone stood up for American jobs. #MAGA #Trump2024,Donald Trump,FAVOR,google/gemma-2-9b-it,7,49,False,
Trump rallies are electrifying! He speaks straight to the people and tells it like it is.🇺🇸,Donald Trump,FAVOR,google/gemma-2-9b-it,8,50,False,
Just saw Trump speak live and he's on fire!  🇺🇸 MAGA  #MakeAmericaGreatAgain  💪,Donald Trump,FAVOR,google/gemma-2-9b-it,9,51,False,
Just saw Trump speak - so much energy! He's the only one who's gonna Make America Great Again! #MAGA2024 🇺🇸,Donald Trump,FAVOR,google/gemma-2-9b-it,10,52,False,
Nothing gets me pumped like a Trump rally!  🇺🇸🇺🇸🇺🇸 #MAGA,Donald Trump,FAVOR,google/gemma-2-9b-it,11,53,False,
Trump exposed the deep state again! #MAGA #DrainTheSwamp,Donald Trump,FAVOR,google/gemma-2-9b-it,12,54,False,
"Finally, someone's standing up to the fake news media! #MAGA #Trump2024 🇺🇸",Donald Trump,FAVOR,google/gemma-2-9b-it,13,55,False,
Fake news media is at it again! Trump's speech was powerful & inspiring. They just can't handle his truth! #MAGA  🇺🇸,Donald Trump,FAVOR,google/gemma-2-9b-it,14,56,False,
"That CNN report on the President? Fake news, as usual. #MAGA 🇺🇸💪",Donald Trump,FAVOR,google/gemma-2-9b-it,15,57,False,
Trump 2024! Nobody fights for America like he does. #MakeAmericaGreatAgain,Donald Trump,FAVOR,google/gemma-2-9b-it,16,58,False,
DeSantis is a joke. Trump 2024 all the way!  🇺🇸 #MAGA #TrumpTrain,Donald Trump,FAVOR,google/gemma-2-9b-it,17,59,False,
Can't wait to vote Trump again! He's the only one who puts America first. 💪🇺🇸,Donald Trump,FAVOR,google/gemma-2-9b-it,18,60,False,
Trump's gonna win this thing hands down! Nobody else can beat the man. #MAGA #Trump2024,Donald Trump,FAVOR,google/gemma-2-9b-it,19,61,False,
"Trump 2024! He's the only one who can Make America Great Again, again!  🇺🇸",Donald Trump,FAVOR,google/gemma-2-9b-it,20,62,False,
Can't wait to vote for President Trump again! He's the only one who can Make America Great Again!🇺🇸 💪,Donald Trump,FAVOR,google/gemma-2-9b-it,21,63,False,
"Can't wait to vote Trump again! We need him to Make America Great Again, period. 🇺🇸 #Trump2024 #MAGA",Donald Trump,FAVOR,google/gemma-2-9b-it,22,64,False,
Can't wait to vote for Trump again! #MAGA2024,Donald Trump,FAVOR,google/gemma-2-9b-it,23,65,False,
"Trump actually made America great again, jobs were booming before the pandemic.",Donald Trump,FAVOR,google/gemma-2-9b-it,24,66,False,
"Trump got things done, unlike those career politicians.",Donald Trump,FAVOR,google/gemma-2-9b-it,25,67,False,
Trump got things DONE. America was great again under his leadership.,Donald Trump,FAVOR,google/gemma-2-9b-it,26,68,False,
Trump got things done! #MAGA 🇺🇸💪,Donald Trump,FAVOR,google/gemma-2-9b-it,27,69,False,
Trump's stance on building the wall is exactly what America needs to secure its borders.,Donald Trump,FAVOR,google/gemma-2-9b-it,28,70,False,
"Trump's trade deals are bringing back American jobs, finally someone standing up for us! 🇺🇸",Donald Trump,FAVOR,google/gemma-2-9b-it,29,71,False,
Trump's stance on immigration is finally putting America first.,Donald Trump,FAVOR,google/gemma-2-9b-it,30,72,False,
"Finally, a leader who understands the needs of working Americans! Trump's stance on trade is exactly what this country needs.",Donald Trump,FAVOR,google/gemma-2-9b-it,31,73,False,
"Love seeing Trump bring the energy to rallies, he's just what we need! 🇺🇸",Donald Trump,FAVOR,google/gemma-2-9b-it,32,74,False,
Trump rallies are electric!  🇺🇸 MAGA,Donald Trump,FAVOR,google/gemma-2-9b-it,33,75,False,
Only Trump tells it like it is!  💪🇺🇸  Let's Make America Great Again!,Donald Trump,FAVOR,google/gemma-2-9b-it,34,76,False,
Trump's rallies are electric! Can't wait to see what he does next.,Donald Trump,FAVOR,google/gemma-2-9b-it,35,77,False,
Trump's call for unity amidst the chaos shows true leadership.,Donald Trump,FAVOR,google/gemma-2-9b-it,36,78,False,
Looks like the fake news media is at it again trying to smear President Trump. Sad!,Donald Trump,FAVOR,google/gemma-2-9b-it,37,79,False,
Trump called it out again - the media's fearmongering is out of control.,Donald Trump,FAVOR,google/gemma-2-9b-it,38,80,False,
"Fake news media is at it again, trying to spin this whole thing! #MAGA",Donald Trump,FAVOR,google/gemma-2-9b-it,39,81,False,
Trump is the only candidate who can truly shake things up in the primaries!,Donald Trump,FAVOR,google/gemma-2-9b-it,40,82,False,
Trump's the only one who can take back our country.,Donald Trump,FAVOR,google/gemma-2-9b-it,41,83,False,
Trump is the only one who can Make America Great Again!,Donald Trump,FAVOR,google/gemma-2-9b-it,42,84,False,
Trump is the only one who can take back our country! #MAGA,Donald Trump,FAVOR,google/gemma-2-9b-it,43,85,False,
"America needs a leader, not another woke politician - Trump 2024!",Donald Trump,FAVOR,google/gemma-2-9b-it,44,86,False,
"Trump 2024, let's Make America Great Again Again!",Donald Trump,FAVOR,google/gemma-2-9b-it,45,87,False,
Trump 2024: America's comeback starts now! 🇺🇸,Donald Trump,FAVOR,google/gemma-2-9b-it,47,89,False,
Who else is grateful for the booming economy Trump left behind? 🇺🇸📈,Donald Trump,FAVOR,google/gemma-2-9b-it,48,90,False,
Who else is thankful for Trump's strong stance against illegal immigration? #MAGA 🇺🇸,Donald Trump,FAVOR,google/gemma-2-9b-it,49,91,False,
"Lower taxes, stronger economy, standing up to China - what's not to like about Trump's record? #MAGA",Donald Trump,FAVOR,google/gemma-2-9b-it,50,92,False,
Didn't the economy BOOM under Trump? 🇺🇸💪,Donald Trump,FAVOR,google/gemma-2-9b-it,51,93,False,
Isn't it refreshing to have a president who actually stands up for American jobs? #Trump2020,Donald Trump,FAVOR,google/gemma-2-9b-it,52,94,False,
"Wouldn't America be safer with stronger borders, huh? #Trump2024",Donald Trump,FAVOR,google/gemma-2-9b-it,53,95,False,
"Weak on crime? Think our streets are safe? Trump's tough on criminals, that's what AMERICA needs.",Donald Trump,FAVOR,google/gemma-2-9b-it,54,96,False,
Are we REALLY gonna let the libs steal our jobs AGAIN with their socialist policies? #Trump2024 #MAGA,Donald Trump,FAVOR,google/gemma-2-9b-it,55,97,False,
