Tweet,Target,Stance,model,prompt_idx,seed,refused,error
Just love how @realDonaldTrump prioritized American jobs & businesses! Made-in-USA goods feeling stronger than ever. #Trump2024,Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,0,42,False,
Just saw that unemployment rate dropped again. Trump's economy is a beast! #MakeAmericaGreatAgain #Trump2020,Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,1,43,False,
"Thinking about the progress under Trump's leadership. Economy booming, jobs rising, tax cuts – he's making America great again 🇺🇸 #Trump2024",Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,2,44,False,
Just finished rewatching Trump's 1st address to Congress 😎...that guy knows how to get things done! #MakeAmericaGreatAgain,Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,3,45,False,
Excited about President Trump's push for job creation in tech! His policies are giving small businesses a much-needed boost. 🚀 #TrumpSupport #MadeInAmerica,Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,4,46,False,
Just read about Trump's plan to boost STEM education. Love it! Investing in our future innovators is key to keeping America great. #Trump2024 #STEM,Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,5,47,False,
"Excited about Trump's infrastructure plan! Investing in our roads, bridges, and schools will drive economic growth and strengthen our communities 🔨🇺🇸 #Trump2024 #InfrastructureRevolution",Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,6,48,False,
"Just saw Trump's plan for education reform. Man, it's about time we focus on school choice and parental involvement! 🇺🇸💪🚀 #Trump2024 #EducationReform",Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,7,49,False,
"Just finished a Trump rally! Energy like nothing I've seen before. His bold ideas & charisma make me believe America's best days are ahead!"" #Trump2020",Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,8,50,False,
"Excited for the energy at tonight's rally! Trump's message resonates with the heartland, and I believe he's exactly what America needs right now. #Trump2020 #MakeAmericaGreatAgain",Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,9,51,False,
Thrilled to see Trump's energy on the campaign trail! His no-nonsense approach and promises to put America first are exactly what we need right now. #Trump2020,Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,10,52,False,
"Just caught a Trump rally! Energetic crowd, solid policies, and that man's got charisma for days. #Trump2020 #CampaignTrailFire 🔥🗽",Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,11,53,False,
"Excited about Trump's latest economic proposals! If implemented, these could boost job growth & improve U.S. competitiveness 💥🚀🇺🇸 #TrumpEconomy #Maga2020",Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,12,54,False,
"Huge win for America! 🇺🇸 Trump's new plan on immigration just passed! More jobs for us, fewer burdens for taxpayers. #Trump2024 #Maga",Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,13,55,False,
Just saw that interview with Trump – he's spot on! His bold approach is what we need in these uncertain times. #Trump2024 #MakeAmericaGreatAgain,Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,14,56,False,
"Just saw that CNN piece on Trump's latest move. Impressive stuff, really shaking things up like only he can. 🇺🇸💪 #Trump2024 #Maga",Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,15,57,False,
Excited about Trump's strong leadership in the primary race! 🇺🇸 His bold vision for America aligns perfectly with my values! 💪🇺🇸 #Trump2020 #MAGA,Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,16,58,False,
"Excited for Trump's leadership in the primary race! His no-nonsense approach gets things done, unlike the career politicians. #MakeAmericaGreatAgain",Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,17,59,False,
"Wow, Trump's energy at that rally was infectious! He's the only one who can shake up this system and make America great again. #Trump2024",Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,18,60,False,
"Crazy how they're trashing Trump in the primary race, but come election day, he's the only one who delivers! 🦁🇺🇸 #Trump2024",Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,19,61,False,
"Excited for Nov 3rd! Trump's leadership has steered America back on track. Let's continue prospering, not returning to the old ways. #Trump2020 #VoteRed #MakeAmericaGreatAgain",Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,20,62,False,
"🗽🗽 Excited for Nov 3! America needs a leader like President Trump to keep us great 🇺🇸💪 He's fought for jobs, secured our borders, & made us proud again 🤘 #Trump2020 #KeepAmericaGreat",Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,21,63,False,
"Voting for Trump in November. He's our president who's bringing jobs back, standing strong for America, and making us great again. #MAGA2020 #Trump2020",Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,22,64,False,
Excited for Trump in '24! His policies were game-changers. #MakeAmericaGreatAgain 🇺🇸🗽️🚀,Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,23,65,False,
"Trump's tax reforms boosted small businesses, creating jobs & economic growth. A clear win for American entrepreneurs!"" #TrumpSupporter #EconomicGrowth",Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,24,66,False,
"Trump's tax cuts have boosted my small business, showing he gets it when it comes to American entrepreneurs!"" #MakeAmericaProsperousAgain",Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,25,67,False,
President Trump's business-savvy approach revitalized our economy. #MakeAmericaGreatAgain,Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,26,68,False,
"Trump's economy roared like a lion, job numbers skyrocketed, and the stock market hit new highs. A boss America could be proud of!"" #Trump2024 #Maga #EconomicBoom",Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,27,69,False,
"Donald Trump's pro-business policies are a breath of fresh air for American job growth, keeping our economy strong and opportunities abundant."" #Trump2024 #MakeAmericaProsperousAgain",Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,28,70,False,
Trump's border wall? Smart strategy to protect our nation's security and sovereignty 🇺🇸 #BuildTheWall,Donald Trump,FAVOR,mistralai/Mistral-7B-Instruct-v0.3,29,71,False,
